country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Hungary,Ullo,44,good,1,good,28,good,2,good,44,good
Malaysia,Ulu Tiram,139,unhealthy for sensitive groups,1,good,48,good,3,good,139,unhealthy for sensitive groups
Thailand,Uthai Thani,43,good,0,good,20,good,0,good,43,good
United States of America,Vernon,50,good,1,good,46,good,3,good,50,good
Spain,Vicar,38,good,1,good,19,good,8,good,38,good
Russian Federation,Vidnoye,66,moderate,1,good,24,good,12,good,66,moderate
Ecuador,Tena,27,good,1,good,4,good,1,good,27,good
Republic of North Macedonia,Tetovo,48,good,1,good,43,good,0,good,48,good
Brazil,Tibagi,18,good,0,good,18,good,0,good,14,good
France,Vierzon,38,good,1,good,26,good,2,good,38,good
